doc_id,text,label,decision_basis,error
1809_17,"To find and develop talent in America and thus avoid the waste of a potentially superior scientist, engineer, teacher, minister, or doctor, we need also a program in the field of education, an intensified one.  We must widen opportunities for all.  We must improve the quality of educational effort.  We must enhance the status of our teachers.  To that end, I have proposed a national program in support of education, emphasizing such elements as college scholarships for those who cannot under any circumstances afford to borrow and to pay back, tax credits or deductions to cover tuition and other costs of higher education, aid in school construction to provide needed facilities, and thereby to release local funds for raising teachers' salaries--all of this, however, particularly at the secondary and primary level, to be accomplished without compromising local controls of our school system.",0,"The document employs formal, policy-oriented language focused on education reform. It discusses specific proposals like scholarships and tax credits without framing the issues as a moral struggle between 'the people' and elites. There is no emphasis on the unity or virtue of 'the common people' against a corrupt establishment, nor are there direct appeals to the masses or emotionally charged language. It aligns with the exclusion criteria and non-populism examples provided in the codebook.",
2016-10-15-portsmouth-new-hampshire_5,"Instead of being held accountable, Hillary is running for President in what looks like a rigged election. The election is being rigged by corrupt media, pushing false allegations and outright lies, in an effort to elect her President. But we are going to stop it. We are not going to back down. We are not going to let it happen.",1,"The document employs rhetoric that criticizes an opponent ('Hillary') and accuses external forces ('corrupt media') of rigging an election. It frames the situation as a struggle against unfair forces, appealing to a sense of injustice and suggesting a need to 'stop it' and 'not back down.' This aligns with the inclusion criteria for populism, specifically the criticism of elites/institutions (media) and the framing of political issues as a moral struggle.",
1851_16,"Second, we also have to see to it that America's diplomacy is firm. Now, that doesn't mean that we won't always go the extra mile--and Cabot Lodge and I have some ideas for strengthening the United Nations, for setting up new organizations which can strengthen the cause of peace and freedom throughout the world. But, my friends, I can assure you of this: we are not, under any circumstances, going to enter into any agreements with the Soviet leaders which would surrender freedom any place in the world, because that leads to war and not to peace. President Eisenhower has shown that. That's why he took the position he did on Quemoy and Matsu and on the other great decisions.",0,"The document focuses on diplomatic strategy and international relations, referencing specific actions and agreements without framing them as a moral struggle between 'the people' and elites. It employs formal language and avoids emotional appeals or simplistic solutions characteristic of populism. The reference to President Eisenhower and his decisions is policy-oriented rather than populist.",
1436_10,"Abroad, the balance of power is shifting. There are new and more terrible weapons--new and uncertain nations--new pressures of population and deprivation. One-third of the world, it has been said, may be free--but one-third is the victim of cruel repression--and the other one-third is rocked by the pangs of poverty, hunger, and envy. More energy is released by the awakening of these new nations than by the fission of the atom itself.",0,"The document discusses global political and economic conditions but does not employ rhetoric that emphasizes the unity, virtue, or rights of 'the common people.' It does not criticize elites or frame issues as a moral struggle between 'the people' and 'elites.' The language is formal and descriptive, focusing on geopolitical shifts and global challenges rather than populist appeals.",
1316_2,"My friends, tomorrow you are going into the voting booths.  When you go there, you are going alone with your conscience.  No one can know how you vote, and that is one of the priceless things for America--that you can do that.  No other person, no matter how close, can know what you do if you don't want him to.",0,"The document emphasizes individual conscience and privacy in voting, but lacks the key elements of populism as defined in the codebook. It does not frame politics as a moral struggle between 'the people' and elites, nor does it employ emotionally charged language, simplistic solutions, or direct appeals to the masses. The language is relatively formal and avoids populist rhetoric.",
1751_17,"So looking to the future these are the things that I believe America can and must do if we are to have peace and have it on the basis that I suggested is essential. First, of course, and we will all agree with this, America must have military strength which is not only second to none, but strength which, combined with our allies, is sufficient, that regardless of what a potential enemy may have, that if he should launch a surprise attack against us anyplace in the world we will have enough left to destroy his warmaking capability. Why do I set that particular standard?  Not because we ever want to use that strength, because if we have that strength it means that is the greatest single guarantee that a potential enemy of peace will not use his strength against us.",0,"The document focuses on military strength and deterrence, employing formal language and policy-oriented arguments. It does not emphasize the unity or virtue of 'the common people,' criticize elites, or frame the issue as a moral struggle between 'the people' and 'elites.' It aligns with the exclusion criteria and non-populism examples provided in the codebook.",
3318_16,"It would have created fifty brand-new federal bureaucracies, a myriad of new laws and federal penalties, introduced price controls, and put one-seventh of the U.S. economy under--it would have dwarfed almost every other program and have become the third largest entitlement program after Social Security and Medicare. That's the real Clinton """"wish list,"""" the true agenda of this president when it's not an election year: a massive pork barrel spending program. The biggest tax hike in history. The biggest single government power-grab in history.",0,"The document focuses on describing the potential consequences of a policy proposal (a 'spending program,' 'tax hike,' 'power-grab') using formal, policy-oriented language. It does not employ rhetoric that emphasizes the unity, virtue, or rights of 'the common people,' nor does it frame the issue as a moral struggle between 'the people' and elites. It lacks emotional language and direct appeals to the masses, aligning with the exclusion criteria for populism.",
1810_11,"So, on this score I say, the American people raise a doubt. The second point: we come to the Paris conference.  The Paris conference, you remember, was the one that Mr. Khrushchev broke up.  He said he broke it up at the time because the President had ordered the U-2 flights, you recall, which were ordered to protect the security of the United States, to get information about whether there was a surprise attack being mounted against the United States, and at that time Mr. Khrushchev demanded that the President of the United States apologize or express regrets for those flights.  The President of the United States refused.",0,"The document discusses international relations and a specific event (the Paris conference and U-2 flights) in a factual and policy-oriented manner. It does not employ rhetoric that emphasizes the unity, virtue, or rights of 'the common people,' criticize elites, or frame political issues as a moral struggle between 'the people' and 'elites.' The language is formal and avoids emotional appeals or simplistic solutions.",
1391_5,"We in the Democratic party think there is nothing we cannot do if we want to do it. The Democratic party believes we have not yet finished making our country, that we still have important work to do. We of the Democratic party think of """"the people"""" as living human beings, one by one, individuals with differing ways and talents and hopes, each worth in himself the whole weight of government.",1,"The document emphasizes 'the people' as a unified group and suggests the Democratic party represents their interests, aligning with the inclusion criteria for populism. The phrasing 'We in the Democratic party think there is nothing we cannot do if we want to do it' implies a powerful, unified force capable of achieving great things, a common theme in populist discourse.",
934_3,"In Illinois, we cleaned up, we disinfected, we fumigated a state government that had been the victim of eight years of magnificent rascality--and I mean Republican rascality. Now, actually it doesn't make any difference whether it is Republican or Democratic rascality; a bad public servant is a bad apple and you throw out a bad apple whatever its variety. That is what I believe and I think that is what we are going to do at every level of our government, if the people are conscious enough of what their responsibility is. But rascals in government are only the uglier practices of wasters in government. Economy is just as important as honesty--for a taxpayer's dollar that is wasted is just as bad as a taxpayer's dollar that is stolen. And here again I lay what I hope is not an immodest claim to some hard and educational experience in making both ends of a government budget meet, in keeping a government lean and trimmed down to an efficient size. I have some idea about that; as the product of practical experience in Illinois, I have learned that economy in government isn't just something that you say you are going to have. You have to grind at it all of the time. You have to grind--everybody--up and down the ladder; the purchasing officers who spend millions of the taxpayers' money, the fellows who deal around in government orders, even the girls who want to use a fresh carbon every time they want to write a letter. It is the same old business day and night. You've got to live it yourself twenty-four hours a day.",1,"The document criticizes 'Republican rascality' and frames government corruption as a problem requiring cleanup and disinfection, contrasting it with the responsibility of conscious citizens. It uses emotionally charged language ('magnificent rascality') and emphasizes the importance of economy and honesty, suggesting a moral struggle against waste and corruption within the government. These elements align with the inclusion criteria for populism.",
1108_0,"Mr. Chairman, ladies and gentlemen:  If I cannot be heard in the roar I have no objection to your crying """"louder,"""" but I do not want to put any more strain on these poor old vocal chords, that are unaccustomed to the kind and amount of talking I have been doing lately, than I have to.  It is a very, very great pleasure to be here with you this morning. Once before I visited the Republican National Headquarters, but under different circumstances and certainly in accommodations far less commodious than these.",0,"The document employs formal language and focuses on logistical details (hearing, accommodations) rather than framing political issues as a moral struggle between 'the people' and elites. It lacks the emotional appeals, simplistic solutions, and direct appeals to the masses characteristic of populist rhetoric as defined in the codebook.",
1564_1,And Hubert Humphrey--I know how tough he is. He has made the Vice President of the United States look easy. He is so tough that he chased me all over Wisconsin and all over West Virginia until I finally asked him to run for the Senate again.,0,"The document references political figures and recounts events without framing issues as a moral struggle between 'the people' and elites. It lacks the emotional language, simplistic solutions, and emphasis on the unity or virtue of 'the common people' against a corrupt establishment, aligning with the exclusion criteria and non-populism examples provided in the codebook.",
1033_17,"But if we deal with this problem foolishly, we risk atomic war, on the one hand, or ignominious surrender, on the other--in either case, the destruction of freedom and civilization. I ask you: to whom should our people entrust the fight against Communism--to those Old Guard Republicans who, on one issue after another, vote the way our enemies like to see them vote? Or to those who have rallied the free world against Communist aggression?",1,"The document frames a political issue (combating Communism) as a moral struggle, contrasting 'our people' against 'Old Guard Republicans' who are implicitly portrayed as aligned with the 'enemies.' This use of contrasting groups and emotionally charged language ('destruction of freedom and civilization') aligns with the inclusion criteria for populism.",
1016_0,"Mr. Conte, ladies and gentlemen, and boys and girls: I see by that sign down there that Dunkirk is for Stevenson. But I still don't feel that I am wasting my time by coming out here, and I am very grateful to all of you for being here, and to all of these children. I hope you are not cutting school.",0,"The document lacks the key elements of populism as defined in the codebook. It does not emphasize the unity or virtue of 'the common people,' criticize elites, or frame political issues as a moral struggle. The language is informal but not emotionally charged or simplistic, and there are no direct appeals to the masses or promotion of simplistic solutions. It is a brief, conversational greeting, not a populist statement.",
1665_4,"Mr. Nixon and I have differed completely on this question.  He says that our prestige is at an all time high.  He said it on the debate and I say it has been declining, and this is an important issue.  Now, this morning the papers reveal, and I have the New York Times in my hand, that the Information Service of our state department has been conducting polls throughout ten countries of the world to try to find out their view of the United States.  These polls have been confidential, but the papers evidently got hold of them.  Here is what the headline says, and it really goes to the whole issue of this campaign: """"The U.S. Survey Finds That Others Consider the Soviet the Mightiest.""""  Sub-headline: """"Summer Poll Shows Belief Is Nearly Unanimous Among the Nations Sampled and the Lead Is Expected to Hold, and Some Expect the Gap to Widen.""""",0,"The document focuses on presenting factual information (poll results) and contrasting viewpoints on a specific issue (US prestige). It lacks the emotional language, simplistic solutions, and framing of a moral struggle between 'the people' and elites that characterize populism, as defined in the codebook. It does not emphasize the unity or virtue of 'the common people' against a corrupt establishment.",
1045_13,"We can make our society ever more productive and more abundant and our people ever more free, but only if we have the purpose, the vision and the determination to do so. We can win peace in the world without a third world war, but only by dedicating our minds and our hearts, our sweat and our blood to that great task for as long as may be necessary. I tell you that the way to our goal is not easy, but the goal is worth the price, for the goal is nothing less than a nation fair and productive beyond our dreams and a world of law and order where men of good will can live together in equal dignity and under God. This is the future that we seek and this is the future for which I know we are willing to work and to sacrifice and to labor with all of our minds and with all of our hearts, and this is the cause to which we call you. We don't call it a crusade--we just call it, """"""""Forward with America.""""""""",0,"The document focuses on achieving a desirable future through purpose, dedication, and hard work, emphasizing national progress and global peace. While it uses strong language, it lacks the key elements of populism as defined in the codebook, such as a direct contrast between 'the common people' and a corrupt elite, or a framing of political issues as a moral struggle. The language is aspirational and forward-looking rather than populist.",
1355_11,We must work out a program that will mean real security--and dignity and meaningfulness--in the lives of our older citizens. There are great unmet needs for more schools and teachers for our children. There are slums to be closed.,0,"The document focuses on policy needs (security for seniors, schools, and addressing slums) without employing the rhetoric of a moral struggle between 'the people' and elites, direct appeals to the masses, or emotionally charged language. It lacks the key inclusion criteria for populism as defined in the codebook.",
2297_42,"They want a president who will restore their trust in government by trusting them--a leader who will neither distort the truth, nor loan away the government. They ask for a president who will tell them, not just what they want to hear, but what they have a right to know. They want a leadership that will return a basic sense of fairness to government--that will set not one standard for the powerful and one for those without power, but a single standard for us all.",1,"The document emphasizes 'the common people's' desire for a leader who trusts them and restores their trust in government. It criticizes distortion of truth and unequal standards for the powerful versus the powerless, framing the issue as a need for fairness and a return to basic rights. This aligns with the inclusion criteria for populism, specifically the emphasis on the 'people' versus those in power and the call for a leader who genuinely represents their interests.",
1799_8,"And I want to tell you why.  Because I believe in party responsibility; because I believe that it is not only necessary to elect a Republican president.  It's also necessary to build this party from top to bottom, and we cannot do it unless we all stand together right up and down the line.  And so that's why I do that.  Frankly, if the time ever comes when I'm not proud of my party and proud of the candidates I'm running with, then, of course, the thing for me to do is to get out of the party.",0,"The document emphasizes party responsibility and building the party, but it does not employ rhetoric that emphasizes the unity, virtue, or rights of 'the common people' against a corrupt elite. It lacks emotional language, direct appeals to the masses, or a framing of political issues as a moral struggle between 'the people' and 'elites.' The language is relatively formal and focused on party politics rather than populist themes.",
1698_3,"Mr. Nixon may go through the country saying this is the greatest prosperity we have ever had, but I don't think it is good enough.  Mr. Nixon may be satisfied when we build 30 percent less homes this year than last year, Mr. Nixon and the Republicans may be satisfied to defeat medical care for our older citizens, to prevent and fail to support better education for our children, to make it possible for every bright boy and girl to see the inside of a college and develop his talents. The point of the matter is that the Republican party and Mr. Nixon in his fourteen years of association with it have not stood for progress, have not stood for breaking new ground, have not stood for breaking new frontiers, and I believe in the 1960s, if the United States is going to fulfill its potential, if we are going to fulfill the destiny which is in store for us in the sixties, if we are going to be the leader of freedom, we are going to have to move here at home.  I come to Philadelphia and ask your help in this campaign.  This election is the means to an end, and the end is a great, stronger, and growing America.  I come here to Philadelphia and ask your help.  I can assure you that if we are successful that this state and country will move again.",1,"The document criticizes Nixon and the Republican party, framing their actions as detrimental to the 'common people' (older citizens, children, bright boys and girls). It contrasts their policies with a vision of a 'great, stronger, and growing America,' implying a moral struggle between the speaker's progressive agenda and the Republicans' perceived lack of progress. The language emphasizes appealing directly to the audience for help and promises a better future, aligning with the inclusion criteria for populism.",
1033_28,"As I have said repeatedly in this campaign, if I find any Communists or fellow travelers or Soviet agents or dupes in our federal government, I will root them out promptly and ruthlessly. In fighting Communists at home, I shall rely on such experienced guardians of our security as J. Edgar Hoover of the Federal Bureau of Investigation and General Bedell Smith of the Central Intelligence Agency. These men fight Communism as it must be fought--with care, thoroughness, precision--and silence.",0,"The document focuses on combating communism and relies on established security figures (Hoover and Smith). It employs formal language and avoids framing the issue as a moral struggle between 'the people' and elites. There is no emphasis on the unity or virtue of 'the common people' or simplistic solutions, aligning with the exclusion criteria for populism.",
3047_22,"We can do it. We can do it. Let me say this. There'll be a lot of talk about change in this election. You already heard Governor Cuomo say of all the choices you have in Michigan, only one has ever balanced a government budget, only one has ever taken on lobbyists and resisted the influence of special interests. Only one has never been a part of the Washington special interest crowd. And only one made a real good choice for vice president, Al Gore of Tennessee.",1,"The document emphasizes a contrast between the speaker and 'the Washington special interest crowd,' framing the election as a choice between someone who resists special interests and those who are part of it. It uses assertive language ('We can do it') and highlights the speaker's perceived virtue (balancing a budget, resisting lobbyists) in opposition to a corrupt establishment, aligning with the inclusion criteria for populism.",
1067_11,"I don't believe that these changes in the nature of business have been adequately recognized by everyone in government. I think we must sweep out of the corridors of government, at all levels, national and state, those lingering suspicions which are a holdover from an earlier and very different time.  This is a problem which concerns me very deeply, for I am convinced that both government and business must learn to live together in harmony, before an era of bad temper turns into something infinitely worse. We must avoid at all costs the bitter struggle of class against class, which results inevitably in a drift either to the extreme left or to the extreme right. And you and I know that either kind of drift would end up at the same dreadful destination: a police state with all of the horrors that we have seen in Hitler's Germany and Stalin's Russia.",0,"The document expresses concern about political division and the need for cooperation between government and business, warning against extremism. However, it does not employ rhetoric that emphasizes the unity, virtue, or rights of 'the common people' against a corrupt elite. The language is formal and focused on policy and avoiding negative outcomes, rather than framing issues as a moral struggle between 'the people' and 'elites.' It aligns with the exclusion criteria and non-populism examples provided in the codebook.",
1328_16,Their technique has been ingenious and ruthless. They have done on the infighting what they couldn't do in the open. They say they believe in public housing! But they put a declared enemy of public housing in charge of the public housing program.,0,"The document criticizes a specific action ('putting a declared enemy of public housing in charge') but does not employ the broader populist rhetoric of emphasizing the unity, virtue, and rights of 'the common people' against a corrupt elite. It lacks emotional language, direct appeals to the masses, or a framing of the issue as a moral struggle between 'the people' and 'elites.' It focuses on a specific policy decision rather than a broader critique of an establishment.",
2008-09-28-columbus-ohio-7_15,"When it comes time to reach across the aisle and work with members of both parties to get things done for the American people -- my opponent can't name a single occasion in which he fought against his party's leadership to get something done for the country. That is not putting the interests of the country first. The country is looking for leadership. The country is hungry for change. They want a leader who will stand up to entrenched special interests -- in Washington, and on Wall Street. They deserve a president who knows when to put politics aside and act in the best interest of the nation. The choice is clear. You have my word. I will always put this country first.",1,"The document emphasizes 'the American people,' contrasts the candidate with an opponent who seemingly prioritizes party over country, and frames the need for a leader who will stand up to 'entrenched special interests.' This aligns with the inclusion criteria for populism, particularly the emphasis on representing the interests of ordinary citizens against powerful elites and the use of emotionally charged language ('hungry for change').",
1308_18,"Ladies and gentlemen, already I have been notified by my associates in front of me that I have used up far more than my time.  I do want to thank each of you who has come out here this morning and given me this time from his busy day not only to bring him a greeting but to allow me to express a few of these thoughts that are on my mind as we go through this political campaign.  I haven't anything in shopworn promises to offer you, but I do tell you this:  When this campaign started and we had some smoothly flowing, high sounding language from the opposition as to what they were going to do--I made a pledge.",1,"The document criticizes the 'opposition' for using 'smoothly flowing, high sounding language,' implying a disconnect from genuine concerns. The speaker offers 'no shopworn promises,' suggesting a rejection of established political rhetoric and a focus on direct communication. This framing aligns with the codebook's description of populism as contrasting 'the people' with an out-of-touch elite using sophisticated language.",
1586_0,"Thank you, Governor, Congressman Burke, Keen Johnson, your next U.S. Senator, and ladies and gentlemen, I come here today to correct a historical misstatement.  Richard M. Nixon stood in this very same spot and claimed Thomas Jefferson as a Republican.  Not on his best day.  I am going to get him back.  Thomas Jefferson is a Democrat.",0,"The document primarily focuses on correcting a historical misstatement regarding political affiliation (Thomas Jefferson's party). It lacks the emphasis on 'the common people,' criticism of elites, or framing of political issues as a moral struggle between 'the people' and 'elites' as described in the codebook's inclusion criteria. The language is factual and does not employ emotional appeals or simplistic solutions.",
1300_38,"A: You know, fortunately, Mr. Nagel, this morning there was a very significant item in the paper. It was this: There was quoted a top-secret document of the American Defense Department. How it got there, we will never know probably. But that top-secret document brought out one fact that really answers your question. It was this. There was a military estimate made in September 1947 by military men, and it had this conclusion: The military occupation of South Korea is not essential to the military security of the United States of America.",0,"The document presents a factual statement regarding a military estimate and does not employ rhetoric that emphasizes the unity, virtue, or rights of 'the common people,' criticize elites, or frame political issues as a moral struggle between 'the people' and 'elites.' It lacks emotional language, direct appeals to the masses, or simplistic solutions characteristic of populism.",
3246_36,"Folks, those senators get a long term. They get six years. That's longer than the president gets. And they get to run more than once which means they get to serve longer than a president can serve. And there's something I think you all ought to think about, whatever your party or philosophy is--when you look at somebody who wants to go to the Senate and says, give me a six-year term and, by the way, I might ask you for another one and I might ask you for another one after that--you have to imagine what will happen to this person in those six years. Does this person have the capacity to continue to absorb all the changes that are going on in America, to feel the needs of all the people in this country, to understand when to say yes and when to say no, and to grow into greatness in that role?",1,"The document employs rhetoric that contrasts senators (implicitly representing an elite) with 'folks' (representing the common people). It questions the long terms senators serve and implies a potential for detachment from the needs of the people over time. This framing aligns with the codebook's inclusion criteria for populism, particularly the emphasis on contrasting 'the people' with potentially out-of-touch elites and questioning established institutions.",
1378_35,What does Mr. Eisenhower propose then? That we go ahead with the development of the cobalt bomb to try to gain another advantage? A force that can shake the earth's axis.,0,"The document focuses on a specific policy proposal (development of a cobalt bomb) and discusses potential consequences without employing the characteristic populist rhetoric of emphasizing the 'common people' versus elites, moral struggles, or emotional appeals. It lacks the framing of a conflict between the virtuous 'people' and a corrupt establishment, aligning with the exclusion criteria.",
1127_31,"I will not support any amendments which weaken the rights of working men and women.  In seeking desirable amendments, I will ask the advice and suggestions of all groups--public, management, and labor.  And, gentlemen, I assure you that this invitation of mine will be genuine and in good faith.  It will not be one of those empty theatrical gestures so often made in recent years.  In my own mind I have complete confidence that this job of amending the law can be worked out so that no fair-minded member of your group will consider the results unreasonable.  No such legislation must ever be regarded as final, and in considering amendments to labor legislation, labor will have an equal voice.  It is the American way to take what we have and constantly seek to make it better.",0,"The document focuses on seeking advice from various groups (public, management, and labor) and emphasizes a collaborative approach to amending labor legislation. It avoids framing the issue as a moral struggle between 'the people' and elites, and does not employ emotionally charged language or simplistic solutions. The language is relatively formal and policy-oriented, aligning with the exclusion criteria for populism.",
1398_34,"We cannot prove wise and strong by any such simple device as suspending, unilaterally, our H-bomb tests. Our atomic knowledge and power have forged the saving shield of freedom. And the future use and control of atomic power can be assured, not by any theatrical national gesture, but only by explicit and supervised international agreements.",0,"The document employs formal, policy-oriented language and focuses on international agreements regarding atomic power. It does not emphasize the unity or virtue of 'the common people,' criticize elites, or frame political issues as a moral struggle between 'the people' and 'elites.' It lacks the emotional appeals, simplistic solutions, and direct appeals to the masses characteristic of populism.",
1498_13,"Fourth and finally, Mr. Khrushchev, it has been suggested that your objective is to divide our country in the middle of an election. Let me say, as emphatically as I can: those tactics will not work. You may try to praise or condemn one candidate or another. You may try to express, directly or indirectly, your preferences or your doubts, but the American people are not going to be influenced in this election by what the Kremlin does or says or does not say.",0,"The document employs formal language and focuses on a political disagreement with Khrushchev regarding election interference. It does not emphasize the unity or virtue of 'the common people,' criticize elites, or frame the issue as a moral struggle between 'the people' and 'elites.' It lacks the emotional language, direct appeals, and simplistic solutions characteristic of populist rhetoric.",
